Nombre,Fecha,Descripcion,Observaciones,Pesos,Dolares
Valentina Rios,5/26/2025,Colaboradores,Aprobado por gerencia,4444335,0
Valentina Rios,5/10/2025,Colaboradores,Sin novedades,822273,0
Valentina Rios,5/2/2025,Colaboradores,Duplicado,4631750,0
Valentina Rios,5/21/2025,Colaboradores,En proceso,1177601,0
Valentina Rios,5/23/2025,Colaboradores,Urgente,0,890
Valentina Rios,5/16/2025,Colaboradores,Sin novedades,0,1000
Valentina Rios,5/24/2025,Colaboradores,Aprobado por gerencia,897742,0
Emilio Castro,5/16/2025,Colaboradores,Manual,3976579,0
Emilio Castro,5/15/2025,Colaboradores,Revisar documento,0,837
Emilio Castro,5/26/2025,Colaboradores,Confirmado por cliente,0,893
Emilio Castro,5/2/2025,Colaboradores,Confirmado por cliente,2615679,0
Emilio Castro,5/30/2025,Colaboradores,Confirmado por cliente,967271,0
Emilio Castro,5/15/2025,Colaboradores,Sin novedades,1030993,0
Camila Morales,5/27/2025,Colaboradores,Urgente,3556424,0
Camila Morales,5/29/2025,Colaboradores,,1782318,0
Camila Morales,5/12/2025,Colaboradores,Confirmado por cliente,0,834
Camila Morales,5/5/2025,Colaboradores,Revisar documento,4773748,0
Camila Morales,5/17/2025,Colaboradores,Manual,4667593,0
Camila Morales,5/13/2025,Colaboradores,Revisar documento,0,773
Camila Morales,5/20/2025,Colaboradores,Duplicado,3111437,0
Camila Morales,5/10/2025,Colaboradores,Sin novedades,1951992,0
Franco Medina,5/20/2025,Colaboradores,Urgente,3781468,0
Franco Medina,5/4/2025,Colaboradores,Sin novedades,3739542,0
Franco Medina,5/24/2025,Colaboradores,En proceso,0,763
Franco Medina,5/8/2025,Colaboradores,Sin novedades,0,1014
Franco Medina,5/11/2025,Colaboradores,Aprobado por gerencia,4910413,0
Franco Medina,5/26/2025,Colaboradores,Pendiente de facturacion,0,1109
Franco Medina,5/11/2025,Colaboradores,Confirmado por cliente,1668112,0
Franco Medina,5/18/2025,Colaboradores,Confirmado por cliente,2753156,0
Franco Medina,5/13/2025,Colaboradores,Manual,3276346,0
Franco Medina,5/26/2025,Colaboradores,Manual,2329558,0
Julieta Torres,5/8/2025,Colaboradores,Urgente,2307229,0
Julieta Torres,5/21/2025,Colaboradores,En proceso,1664030,0
Julieta Torres,5/4/2025,Colaboradores,Aprobado por gerencia,0,1219
Julieta Torres,5/1/2025,Colaboradores,Duplicado,1951751,0
Julieta Torres,5/5/2025,Colaboradores,Pendiente de facturacion,1901753,0
Julieta Torres,5/17/2025,Colaboradores,Aprobado por gerencia,0,1012
Julieta Torres,5/24/2025,Colaboradores,Revisar documento,1583951,0
Julieta Torres,5/23/2025,Colaboradores,,0,1163
Julieta Torres,5/29/2025,Colaboradores,Confirmado por cliente,4328985,0
Bruno Acosta,5/13/2025,Familia,Urgente,0,1070
Bruno Acosta,5/29/2025,Familia,Sin novedades,4326913,0
Bruno Acosta,5/6/2025,Familia,Revisar documento,4975865,0
Bruno Acosta,5/2/2025,Familia,Manual,3635697,0
Bruno Acosta,5/22/2025,Familia,Pendiente de facturacion,4978309,0
Bruno Acosta,5/22/2025,Familia,Confirmado por cliente,1375457,0
Bruno Acosta,5/7/2025,Familia,Manual,0,1148
Bruno Acosta,5/3/2025,Familia,Sin novedades,950807,0
Bruno Acosta,5/21/2025,Familia,Sin novedades,2808075,0
Bruno Acosta,5/15/2025,Familia,En proceso,2749754,0
Bruno Acosta,5/22/2025,Familia,Sin novedades,3560649,0
Bruno Acosta,5/19/2025,Familia,Manual,1174487,0
Bruno Acosta,5/5/2025,Familia,En proceso,4917890,0
Bruno Acosta,5/23/2025,Familia,Sin novedades,3781950,0
Natalia Ruiz,5/4/2025,Familia,En proceso,3587878,0
Natalia Ruiz,5/17/2025,Familia,Sin novedades,821107,0
Natalia Ruiz,5/5/2025,Familia,,1716838,0
Natalia Ruiz,5/26/2025,Familia,Urgente,3263784,0
Natalia Ruiz,5/8/2025,Familia,,1339809,0
Natalia Ruiz,5/25/2025,Familia,Pendiente de facturacion,2040525,0
Natalia Ruiz,5/31/2025,Familia,Aprobado por gerencia,2783527,0
Natalia Ruiz,5/21/2025,Familia,,4671506,0
Natalia Ruiz,5/28/2025,Familia,Aprobado por gerencia,2139994,0
Natalia Ruiz,5/25/2025,Familia,En proceso,4822586,0
Federico Molina,5/31/2025,Familia,,1587959,0
Federico Molina,5/14/2025,Familia,En proceso,4243001,0
Federico Molina,5/9/2025,Familia,Revisar documento,4209139,0
Federico Molina,5/28/2025,Familia,Urgente,3032997,0
Federico Molina,5/29/2025,Familia,Revisar documento,2955104,0
Federico Molina,5/15/2025,Familia,Urgente,1056365,0
Federico Molina,5/1/2025,Familia,Revisar documento,3639528,0
Federico Molina,5/14/2025,Familia,Aprobado por gerencia,4904432,0
Federico Molina,5/5/2025,Familia,Sin novedades,4375108,0
Federico Molina,5/3/2025,Familia,Confirmado por cliente,1771337,0
Federico Molina,5/10/2025,Familia,Pendiente de facturacion,2772540,0
Eliana Lopez,5/24/2025,Familia,,3161626,0
Eliana Lopez,5/16/2025,Familia,Urgente,2446646,0
Eliana Lopez,5/1/2025,Familia,Duplicado,2639916,0
Eliana Lopez,5/7/2025,Familia,Aprobado por gerencia,910162,0
Eliana Lopez,5/25/2025,Familia,Pendiente de facturacion,2855917,0
Eliana Lopez,5/16/2025,Familia,Aprobado por gerencia,1900251,0
Eliana Lopez,5/24/2025,Familia,Duplicado,2304764,0
Eliana Lopez,5/29/2025,Familia,Duplicado,2763855,0
Eliana Lopez,5/20/2025,Familia,Pendiente de facturacion,4450002,0
Eliana Lopez,5/1/2025,Familia,En proceso,2724862,0
Eliana Lopez,5/7/2025,Familia,,1198789,0
Eliana Lopez,5/28/2025,Familia,Revisar documento,0,814
Diego Navarro,5/17/2025,Familia,Sin novedades,1919043,0
Diego Navarro,5/9/2025,Familia,En proceso,3460990,0
Diego Navarro,5/12/2025,Familia,Aprobado por gerencia,2708321,0
Diego Navarro,5/7/2025,Familia,Manual,1706236,0
Diego Navarro,5/2/2025,Familia,Sin novedades,0,783
Diego Navarro,5/4/2025,Familia,,2072320,0
Diego Navarro,5/24/2025,Familia,,0,975
Diego Navarro,5/28/2025,Familia,Aprobado por gerencia,4339484,0
Diego Navarro,5/31/2025,Familia,Duplicado,2530898,0
Diego Navarro,5/25/2025,Familia,Sin novedades,1894536,0
Diego Navarro,5/27/2025,Familia,Revisar documento,3885039,0
Diego Navarro,5/14/2025,Familia,,2292636,0
