Nombre,Fecha,Descripcion,Observaciones,Pesos,Dolares
Sofia Herrera,09-04-2025,Colaborador,Confirmado por cliente,0,1268
Sofia Herrera,29-04-2025,Colaborador,En proceso,1702191,0
Sofia Herrera,25-04-2025,Colaborador,Confirmado por cliente,2315785,0
Sofia Herrera,18-04-2025,Colaborador,Pendiente de facturacion,4872605,0
Sofia Herrera,24-04-2025,Colaborador,Aprobado por gerencia,2928223,0
Sofia Herrera,08-04-2025,Colaborador,,3775955,0
Sofia Herrera,25-04-2025,Colaborador,Aprobado por gerencia,4880306,0
Sofia Herrera,16-04-2025,Colaborador,Pendiente de facturacion,0,1105
Julian Diaz,30-04-2025,Colaborador,Confirmado por cliente,1555516,0
Julian Diaz,04-04-2025,Colaborador,Sin novedades,1039939,0
Julian Diaz,07-04-2025,Colaborador,,3986001,0
Julian Diaz,29-04-2025,Colaborador,Duplicado,2277370,0
Julian Diaz,26-04-2025,Colaborador,Aprobado por gerencia,3781867,0
Julian Diaz,03-04-2025,Colaborador,Duplicado,3128061,0
Julian Diaz,12-04-2025,Colaborador,,3669081,0
Julian Diaz,21-04-2025,Colaborador,Urgente,1413267,0
Julian Diaz,26-04-2025,Colaborador,Urgente,4617011,0
Julian Diaz,03-04-2025,Colaborador,Manual,4207641,0
Julian Diaz,24-04-2025,Colaborador,Urgente,4993513,0
Valentina Rios,24-04-2025,Colaborador,Sin novedades,1448909,0
Valentina Rios,05-04-2025,Colaborador,En proceso,2342382,0
Valentina Rios,26-04-2025,Colaborador,Manual,2365547,0
Valentina Rios,02-04-2025,Colaborador,Duplicado,0,886
Valentina Rios,21-04-2025,Colaborador,Aprobado por gerencia,1973914,0
Valentina Rios,22-04-2025,Colaborador,Manual,2359694,0
Valentina Rios,16-04-2025,Colaborador,,0,1123
Valentina Rios,03-04-2025,Colaborador,Sin novedades,2886097,0
Valentina Rios,09-04-2025,Colaborador,Urgente,4340259,0
Valentina Rios,16-04-2025,Colaborador,En proceso,4206474,0
Valentina Rios,30-04-2025,Colaborador,Pendiente de facturacion,2998835,0
Valentina Rios,06-04-2025,Colaborador,Duplicado,4750841,0
Valentina Rios,30-04-2025,Colaborador,,2493097,0
Emilio Castro,30-04-2025,Colaborador,Sin novedades,1042143,0
Emilio Castro,22-04-2025,Colaborador,Manual,4851324,0
Emilio Castro,06-04-2025,Colaborador,Confirmado por cliente,1501275,0
Emilio Castro,16-04-2025,Colaborador,Urgente,4804741,0
Emilio Castro,15-04-2025,Colaborador,Aprobado por gerencia,2438166,0
Emilio Castro,27-04-2025,Colaborador,Urgente,2239382,0
Emilio Castro,28-04-2025,Colaborador,Aprobado por gerencia,0,1195
Emilio Castro,06-04-2025,Colaborador,Duplicado,2630517,0
Emilio Castro,02-04-2025,Colaborador,Pendiente de facturacion,4335415,0
Emilio Castro,12-04-2025,Colaborador,Urgente,2529922,0
Emilio Castro,14-04-2025,Colaborador,Manual,1805187,0
Emilio Castro,12-04-2025,Colaborador,Confirmado por cliente,4231950,0
Emilio Castro,22-04-2025,Colaborador,Urgente,0,964
Emilio Castro,24-04-2025,Colaborador,Duplicado,2260041,0
Emilio Castro,17-04-2025,Colaborador,Pendiente de facturacion,2954678,0
Camila Morales,10-04-2025,Colaborador,Aprobado por gerencia,0,806
Camila Morales,28-04-2025,Colaborador,Pendiente de facturacion,1093420,0
Camila Morales,07-04-2025,Colaborador,Duplicado,1441975,0
Camila Morales,28-04-2025,Colaborador,Urgente,4008884,0
Camila Morales,10-04-2025,Colaborador,Aprobado por gerencia,3759394,0
Camila Morales,13-04-2025,Colaborador,Urgente,3902727,0
Camila Morales,09-04-2025,Colaborador,Pendiente de facturacion,2562621,0
Camila Morales,03-04-2025,Colaborador,Confirmado por cliente,0,1266
Camila Morales,20-04-2025,Colaborador,Revisar documento,1132543,0
Camila Morales,17-04-2025,Colaborador,Sin novedades,4586837,0
Camila Morales,04-04-2025,Colaborador,,2169632,0
Franco Medina,15-04-2025,Colaborador,Manual,4650799,0
Franco Medina,30-04-2025,Colaborador,Revisar documento,1203995,0
Franco Medina,27-04-2025,Colaborador,Urgente,3736630,0
Franco Medina,04-04-2025,Colaborador,Revisar documento,1534993,0
Franco Medina,22-04-2025,Colaborador,Aprobado por gerencia,4168274,0
Franco Medina,06-04-2025,Colaborador,,2708142,0
Franco Medina,20-04-2025,Colaborador,Urgente,1439976,0
Franco Medina,12-04-2025,Colaborador,En proceso,0,1057
Franco Medina,22-04-2025,Colaborador,Pendiente de facturacion,2335215,0
Franco Medina,18-04-2025,Colaborador,Duplicado,0,944
Julieta Torres,26-04-2025,Colaborador,Manual,3269439,0
Julieta Torres,07-04-2025,Colaborador,Urgente,1516594,0
Julieta Torres,09-04-2025,Colaborador,Pendiente de facturacion,3121665,0
Julieta Torres,03-04-2025,Colaborador,Revisar documento,3087336,0
Julieta Torres,15-04-2025,Colaborador,Confirmado por cliente,1714002,0
Julieta Torres,05-04-2025,Colaborador,Confirmado por cliente,2494386,0
Julieta Torres,14-04-2025,Colaborador,En proceso,1719483,0
Julieta Torres,28-04-2025,Colaborador,Sin novedades,4479713,0
Julieta Torres,15-04-2025,Colaborador,,0,1176
Julieta Torres,30-04-2025,Colaborador,En proceso,1160338,0
Julieta Torres,14-04-2025,Colaborador,En proceso,0,860
Bruno Acosta,26-04-2025,Familia,Revisar documento,2528384,0
Bruno Acosta,04-04-2025,Familia,Manual,3154213,0
Bruno Acosta,17-04-2025,Familia,Aprobado por gerencia,3703201,0
Bruno Acosta,15-04-2025,Familia,Revisar documento,2732666,0
Bruno Acosta,03-04-2025,Familia,En proceso,3348710,0
Bruno Acosta,22-04-2025,Familia,Pendiente de facturacion,2111894,0
Bruno Acosta,24-04-2025,Familia,Aprobado por gerencia,4250753,0
Bruno Acosta,19-04-2025,Familia,,3932839,0
Bruno Acosta,30-04-2025,Familia,Duplicado,3264276,0
Bruno Acosta,25-04-2025,Familia,Sin novedades,2479686,0
Bruno Acosta,01-04-2025,Familia,Duplicado,4289233,0
Natalia Ruiz,01-04-2025,Familia,Manual,3142941,0
Natalia Ruiz,20-04-2025,Familia,Confirmado por cliente,1774477,0
Natalia Ruiz,27-04-2025,Familia,,3346988,0
Natalia Ruiz,22-04-2025,Familia,,2436443,0
Natalia Ruiz,16-04-2025,Familia,Confirmado por cliente,2866023,0
Natalia Ruiz,02-04-2025,Familia,Manual,3471830,0
Natalia Ruiz,04-04-2025,Familia,Sin novedades,1247311,0
Natalia Ruiz,25-04-2025,Familia,En proceso,3042612,0
Natalia Ruiz,13-04-2025,Familia,Pendiente de facturacion,4078392,0
Natalia Ruiz,23-04-2025,Familia,,0,764
Natalia Ruiz,04-04-2025,Familia,Aprobado por gerencia,3329618,0
Natalia Ruiz,10-04-2025,Familia,Aprobado por gerencia,3781110,0
Federico Molina,04-04-2025,Familia,Pendiente de facturacion,2877667,0
Federico Molina,26-04-2025,Familia,Aprobado por gerencia,3087071,0
Federico Molina,23-04-2025,Familia,Revisar documento,4401777,0
Federico Molina,27-04-2025,Familia,Duplicado,3087502,0
Federico Molina,02-04-2025,Familia,Pendiente de facturacion,4293199,0
Federico Molina,22-04-2025,Familia,Duplicado,1858392,0
Federico Molina,07-04-2025,Familia,En proceso,4352367,0
Federico Molina,06-04-2025,Familia,Urgente,3011809,0
Federico Molina,16-04-2025,Familia,En proceso,4451875,0
Federico Molina,30-04-2025,Familia,Manual,1384902,0
Federico Molina,13-04-2025,Familia,Confirmado por cliente,4646723,0
Federico Molina,10-04-2025,Familia,Duplicado,0,703
Eliana Lopez,01-04-2025,Familia,Duplicado,3527896,0
Eliana Lopez,22-04-2025,Familia,Duplicado,1760512,0
Eliana Lopez,08-04-2025,Familia,Urgente,4826598,0
Eliana Lopez,22-04-2025,Familia,Aprobado por gerencia,3502826,0
Eliana Lopez,16-04-2025,Familia,Confirmado por cliente,2670502,0
Eliana Lopez,18-04-2025,Familia,Revisar documento,0,1251
Eliana Lopez,28-04-2025,Familia,Urgente,3419614,0
Eliana Lopez,23-04-2025,Familia,Aprobado por gerencia,4225230,0
Eliana Lopez,24-04-2025,Familia,Aprobado por gerencia,2142482,0
Eliana Lopez,04-04-2025,Familia,Pendiente de facturacion,1108773,0
Eliana Lopez,07-04-2025,Familia,Manual,1598044,0
Eliana Lopez,29-04-2025,Familia,Manual,1456667,0
Eliana Lopez,08-04-2025,Familia,Revisar documento,2836472,0
Eliana Lopez,21-04-2025,Familia,Pendiente de facturacion,1652512,0
Diego Navarro,12-04-2025,Familia,Urgente,2516485,0
Diego Navarro,01-04-2025,Familia,En proceso,4351399,0
Diego Navarro,18-04-2025,Familia,Sin novedades,2101278,0
Diego Navarro,10-04-2025,Familia,Duplicado,2165467,0
Diego Navarro,27-04-2025,Familia,Duplicado,1093429,0
Diego Navarro,22-04-2025,Familia,Revisar documento,1290022,0
Diego Navarro,22-04-2025,Familia,Confirmado por cliente,1343664,0
Diego Navarro,20-04-2025,Familia,En proceso,4711251,0
Diego Navarro,22-04-2025,Familia,Revisar documento,3356922,0
Diego Navarro,24-04-2025,Familia,Confirmado por cliente,1219557,0
Diego Navarro,09-04-2025,Familia,,4301869,0
Diego Navarro,27-04-2025,Familia,Sin novedades,2195374,0
Diego Navarro,20-04-2025,Familia,Revisar documento,1842216,0
Diego Navarro,08-04-2025,Familia,Duplicado,4850804,0
